YEAR,LOC,PLOT,BLK,ENTRY,BREEDER,PLOTWT,BSWT,TOTALWT,BSLNTWT,BSSEEDWT,(G),FZYSEEDWT,BS,SPB,SI,LI ,LNTPCT,AVGLNTPCT,LNTYLD,MIC,UHM,UI,STR,ELO,SFI%
2022,StonevilleUSDA2,0631,1,1,Koebernick,18.7,156.27,19.04,63.08,93.19,0,2.94,6.25,31.72,11.75,7.95,40.37,40.67,1265,4.64,1.251,85.9,32.1,6.3,4.7
2022,StonevilleUSDA2,0931,2,1,Koebernick,20.8,164.6,21.16,65.37,99.23,0,2.94,6.58,33.72,11.77,7.75,39.71,40.67,1406,4.64,1.275,84.9,34.6,6.1,4.7
2022,StonevilleUSDA2,1629,3,1,Koebernick,19.8,137.25,20.1,55.17,82.08,0,2.73,5.49,30.12,10.9,7.33,40.2,40.67,1336,5.17,1.217,83.6,31.6,6.1,6.4
2022,StonevilleUSDA2,2031,4,1,Koebernick,22.2,133.66,22.49,56.69,76.97,0,2.67,5.35,28.85,10.67,7.86,42.41,40.67,1495,5.04,1.229,84.7,32.2,6.4,5.4
2022,StonevilleUSDA2,0333,1,2,Koebernick,20.7,133.96,21,54.9,79.06,0,2.94,5.36,26.87,11.77,8.17,40.98,41.18,1412,4.9,1.25,84.8,31,5.8,5.3
2022,StonevilleUSDA2,1025,2,2,Koebernick,17.2,129.26,17.48,51.7,77.56,0,2.91,5.17,26.68,11.63,7.75,40,41.18,1176,4.46,1.258,83.9,31.8,5.8,5.5
2022,StonevilleUSDA2,1635,3,2,Koebernick,18.8,127.89,19.08,53.79,74.1,0,2.77,5.12,26.73,11.09,8.05,42.06,41.18,1284,4.74,1.244,85.3,31.5,5.8,5.5
2022,StonevilleUSDA2,1933,4,2,Koebernick,19.8,130.97,20.09,54.59,76.38,0,2.75,5.24,27.75,11.01,7.87,41.68,41.18,1351,4.6,1.266,85.5,32.4,5.8,4.6
2022,StonevilleUSDA2,0231,1,3,Bourland,24.4,172.87,24.78,70.64,102.23,0,3,6.91,34.05,12.01,8.3,40.86,41.31,1672,4.77,1.257,85.8,31.7,6,4.9
2022,StonevilleUSDA2,0831,2,3,Bourland,23.6,131.94,23.89,55.18,76.76,0,2.84,5.28,27.03,11.36,8.17,41.82,41.31,1612,4.79,1.23,85.5,32.2,6.1,5.9
2022,StonevilleUSDA2,1423,3,3,Bourland,22.1,154.93,22.44,62.63,92.3,0,2.86,6.2,32.3,11.43,7.76,40.42,41.31,1514,4.56,1.32,87.2,32.8,6.1,3.8
2022,StonevilleUSDA2,2027,4,3,Bourland,20.4,125.76,20.68,52.99,72.77,0,2.78,5.03,26.22,11.1,8.08,42.14,41.31,1395,5.01,1.199,84.7,32.6,5.9,5.9
2022,StonevilleUSDA2,0625,1,4,Bourland,20.4,130.03,20.69,53.59,76.44,0,2.88,5.2,26.59,11.5,8.06,41.21,40.83,1380,4.84,1.272,85.5,33.6,5.7,4.7
2022,StonevilleUSDA2,0731,2,4,Bourland,21.2,173.56,21.58,69.35,104.21,0,2.97,6.94,35.06,11.89,7.91,39.96,40.83,1440,4.89,1.295,85.7,33.9,5.9,4
2022,StonevilleUSDA2,1327,3,4,Bourland,21.1,148.01,21.43,60.94,87.07,0,2.84,5.92,30.69,11.35,7.94,41.17,40.83,1429,4.68,1.255,84.6,33,5.9,5.3
2022,StonevilleUSDA2,1835,4,4,Bourland,24.2,124.59,24.47,51.07,73.52,0,2.68,4.98,27.46,10.71,7.44,40.99,40.83,1632,4.73,1.264,85,33.5,5.9,5.3
2022,StonevilleUSDA2,0327,1,5,Bourland,25.2,170.89,25.58,70.6,100.29,0,3.03,6.84,33.13,12.11,8.52,41.31,41.69,1742,4.71,1.286,84.8,34.2,6,4.6
2022,StonevilleUSDA2,1125,2,5,Bourland,22.1,141.76,22.41,60.02,81.74,0,2.76,5.67,29.62,11.04,8.11,42.34,41.69,1526,4.92,1.253,83.4,31.7,6.1,5.4
2022,StonevilleUSDA2,1429,3,5,Bourland,22.6,176.59,22.99,73.91,102.68,0,2.83,7.06,36.31,11.31,8.14,41.85,41.69,1566,4.56,1.279,84.7,34.1,5.8,4.7
2022,StonevilleUSDA2,1825,4,5,Bourland,20.6,141.03,20.91,58.19,82.84,0,2.72,5.64,30.48,10.87,7.64,41.26,41.69,1424,4.5,1.298,85.2,32.2,5.8,4.2
2022,StonevilleUSDA2,0225,1,6,Bourland,23,145.52,23.32,58.55,86.97,0,2.96,5.82,29.41,11.83,7.96,40.24,40,1524,4.21,1.236,85.1,33.6,5.6,5.6
2022,StonevilleUSDA2,0729,2,6,Bourland,25.9,129.93,26.19,52.67,77.26,0,3.13,5.2,24.66,12.53,8.54,40.54,40,1711,4.45,1.265,85.8,32.6,5.5,4.7
2022,StonevilleUSDA2,1531,3,6,Bourland,24.6,131.53,24.89,51.61,79.92,0,3.17,5.26,25.19,12.69,8.19,39.24,40,1626,4.3,1.267,86.5,32.2,5.5,4.5
2022,StonevilleUSDA2,2123,4,6,Bourland,26.6,154.74,26.94,61.85,92.89,0,2.98,6.19,31.2,11.91,7.93,39.97,40,1760,4.51,1.238,84.3,32,5.5,5.6
2022,StonevilleUSDA2,0423,1,7,Bourland,22.5,145.17,22.82,63.35,81.82,0,2.59,5.81,31.65,10.34,8.01,43.64,43.49,1621,4.79,1.31,86.1,32.9,6.3,3.9
2022,StonevilleUSDA2,0825,2,7,Bourland,21.8,141.6,22.11,63.01,78.59,0,2.57,5.66,30.58,10.28,8.24,44.5,43.49,1571,4.77,1.259,83.9,31.5,6.2,5.7
2022,StonevilleUSDA2,1323,3,7,Bourland,22.9,156.16,23.24,67.14,89.02,0,2.71,6.25,32.82,10.85,8.18,42.99,43.49,1651,5.01,1.277,86.9,31.5,6.4,4.4
2022,StonevilleUSDA2,1729,4,7,Bourland,26.4,148.97,26.73,63.78,85.19,0,2.59,5.96,32.89,10.36,7.76,42.81,43.49,1899,4.9,1.255,85.2,33,6.4,5.2
2022,StonevilleUSDA2,0227,1,8,Bourland,24,150.78,24.33,59.5,91.28,0,3.17,6.03,28.84,12.66,8.25,39.46,40.25,1600,4.5,1.244,85.1,34.1,6.3,5.1
2022,StonevilleUSDA2,1027,2,8,Bourland,23.7,160.28,24.05,62.92,97.36,0,3.19,6.41,30.54,12.75,8.24,39.26,40.25,1581,5.06,1.258,85.8,35.4,6.1,4.3
